ID_REGIAO,ID_UF,ID_MUNICIPIO,IN_PUBLICA,TX_RESP_Q01,IN_PRESENCA_LP,IN_PRESENCA_MT,PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,NU_TIPO_NIVEL_INSE,PROFICIENCIA_TOTAL
3,32,6325269,1,Feminino,1,1,275.02,238.72,1,4,513.74
3,32,6325269,1,Feminino,1,1,336.6,314.61,1,4,651.21
3,32,6325269,1,Masculino,1,1,265.6,281.6,1,2,547.2
3,32,6325269,1,Feminino,1,1,309.41,308.02,1,2,617.4300000000001
3,32,6325269,1,Masculino,1,1,283.25,310.75,1,4,594.0
3,32,6325269,1,Feminino,1,1,308.84,323.2,1,5,632.04
3,32,6325269,1,Feminino,1,1,326.36,266.91,1,3,593.27
3,32,6325269,1,Feminino,1,1,299.97,263.15,1,2,563.12
3,32,6325269,1,Masculino,1,1,260.83,296.01,1,4,556.8399999999999
3,32,6325269,1,Feminino,1,1,283.5,237.36,1,4,520.86
3,32,6325269,1,Masculino,1,1,270.7,291.75,1,4,562.45
3,32,6325269,1,Feminino,1,1,286.68,258.41,1,4,545.09
3,32,6325269,1,Feminino,1,1,258.7,270.82,1,1,529.52
3,32,6325269,1,Feminino,1,1,297.84,271.78,1,2,569.6199999999999
3,32,6325269,1,Feminino,1,1,323.23,335.44,1,3,658.6700000000001
3,32,6325269,1,Masculino,1,1,350.41,303.85,1,3,654.26
3,32,6325269,1,Feminino,1,1,367.75,301.39,1,5,669.14
3,32,6325269,1,Masculino,1,1,341.41,311.94,1,3,653.35
3,32,6325269,1,Masculino,1,1,305.79,318.03,1,4,623.8199999999999
3,32,6325269,1,Masculino,1,1,235.53,261.35,1,2,496.88
3,32,6325269,1,Feminino,1,1,348.42,278.83,1,2,627.25
3,32,6325269,1,Masculino,1,1,239.1,282.77,1,4,521.87
3,32,6325269,1,Masculino,1,1,279.85,304.83,1,3,584.6800000000001
3,32,6325269,1,Feminino,1,1,259.64,254.84,1,6,514.48
3,32,6325269,1,Feminino,1,1,247.61,260.22,1,5,507.83000000000004
3,32,6325269,1,Feminino,1,1,325.95,323.79,1,4,649.74
3,32,6325269,1,Feminino,1,1,322.82,253.34,1,2,576.16
3,32,6325269,1,Feminino,1,1,281.15,262.89,1,2,544.04
3,32,6325269,1,Masculino,1,1,278.91,320.01,1,7,598.9200000000001
3,32,6325269,1,Feminino,1,1,249.6,251.6,1,5,501.2
3,32,6325269,1,Feminino,1,1,342.29,362.81,1,1,705.1
3,32,6325269,1,Feminino,1,1,266.44,312.51,1,6,578.95
3,32,6325269,1,Feminino,1,1,340.47,243.87,1,2,584.34
3,32,6325269,1,Masculino,1,1,200.77,232.02,1,2,432.79
3,32,6325269,1,Feminino,1,1,259.04,292.2,1,2,551.24
3,32,6325269,1,Masculino,1,1,181.27,262.12,1,4,443.39
3,32,6325269,1,Feminino,1,1,297.14,266.64,1,2,563.78
3,32,6325269,1,Feminino,1,1,347.04,336.57,1,1,683.61
3,32,6325269,1,Feminino,1,1,245.88,237.08,1,1,482.96000000000004
3,32,6325269,1,Feminino,1,1,307.15,284.9,1,2,592.05
3,32,6325270,1,Masculino,1,1,315.17,345.35,1,4,660.52
3,32,6325270,1,Masculino,1,1,284.72,290.01,1,5,574.73
3,32,6325270,1,Masculino,1,1,357.28,325.11,1,5,682.39
